,ds,y
0,1970-01-04,56.76046110000001
1,1970-01-11,0.0
2,1970-01-18,0.0
3,1970-01-25,0.0
4,1970-02-01,0.0
5,1970-02-08,0.0
6,1970-02-15,0.0
7,1970-02-22,0.0
8,1970-03-01,0.0
9,1970-03-08,0.0
10,1970-03-15,0.0
11,1970-03-22,0.0
12,1970-03-29,0.0
13,1970-04-05,0.0
14,1970-04-12,0.0
15,1970-04-19,0.0
16,1970-04-26,0.0
17,1970-05-03,0.0
18,1970-05-10,0.0
19,1970-05-17,0.0
20,1970-05-24,0.0
21,1970-05-31,0.0
22,1970-06-07,0.0
23,1970-06-14,0.0
24,1970-06-21,0.0
25,1970-06-28,0.0
26,1970-07-05,0.0
27,1970-07-12,0.0
28,1970-07-19,0.0
29,1970-07-26,0.0
30,1970-08-02,0.0
31,1970-08-09,0.0
32,1970-08-16,0.0
33,1970-08-23,0.0
34,1970-08-30,0.0
35,1970-09-06,0.0
36,1970-09-13,0.0
37,1970-09-20,0.0
38,1970-09-27,0.0
39,1970-10-04,0.0
40,1970-10-11,0.0
41,1970-10-18,0.0
42,1970-10-25,0.0
43,1970-11-01,0.0
44,1970-11-08,0.0
45,1970-11-15,0.0
46,1970-11-22,0.0
47,1970-11-29,0.0
48,1970-12-06,0.0
49,1970-12-13,0.0
50,1970-12-20,0.0
51,1970-12-27,0.0
52,1971-01-03,0.0
53,1971-01-10,0.0
54,1971-01-17,0.0
55,1971-01-24,0.0
56,1971-01-31,0.0
57,1971-02-07,0.0
58,1971-02-14,0.0
59,1971-02-21,0.0
60,1971-02-28,0.0
61,1971-03-07,0.0
62,1971-03-14,0.0
63,1971-03-21,0.0
64,1971-03-28,0.0
65,1971-04-04,0.0
66,1971-04-11,0.0
67,1971-04-18,0.0
68,1971-04-25,0.0
69,1971-05-02,0.0
70,1971-05-09,0.0
71,1971-05-16,0.0
72,1971-05-23,0.0
73,1971-05-30,0.0
74,1971-06-06,0.0
75,1971-06-13,0.0
76,1971-06-20,0.0
77,1971-06-27,0.0
78,1971-07-04,0.0
79,1971-07-11,0.0
80,1971-07-18,0.0
81,1971-07-25,0.0
82,1971-08-01,0.0
83,1971-08-08,0.0
84,1971-08-15,0.0
85,1971-08-22,0.0
86,1971-08-29,0.0
87,1971-09-05,0.0
88,1971-09-12,0.0
89,1971-09-19,0.0
90,1971-09-26,0.0
91,1971-10-03,0.0
92,1971-10-10,0.0
93,1971-10-17,0.0
94,1971-10-24,0.0
95,1971-10-31,0.0
96,1971-11-07,0.0
97,1971-11-14,0.0
98,1971-11-21,0.0
99,1971-11-28,0.0
100,1971-12-05,0.0
101,1971-12-12,0.0
102,1971-12-19,0.0
103,1971-12-26,0.0
104,1972-01-02,0.0
105,1972-01-09,0.0
106,1972-01-16,0.0
107,1972-01-23,0.0
108,1972-01-30,0.0
109,1972-02-06,0.0
110,1972-02-13,0.0
111,1972-02-20,0.0
112,1972-02-27,0.0
113,1972-03-05,0.0
114,1972-03-12,0.0
115,1972-03-19,0.0
116,1972-03-26,0.0
117,1972-04-02,0.0
118,1972-04-09,0.0
119,1972-04-16,0.0
120,1972-04-23,0.0
121,1972-04-30,0.0
122,1972-05-07,0.0
123,1972-05-14,0.0
124,1972-05-21,0.0
125,1972-05-28,0.0
126,1972-06-04,0.0
127,1972-06-11,0.0
128,1972-06-18,0.0
129,1972-06-25,0.0
130,1972-07-02,0.0
131,1972-07-09,0.0
132,1972-07-16,0.0
133,1972-07-23,0.0
134,1972-07-30,0.0
135,1972-08-06,0.0
136,1972-08-13,0.0
137,1972-08-20,0.0
138,1972-08-27,0.0
