,file,error,changepoint_prior_scale,changepoint_range,seasonality_prior_scale,seasonality_mode,growth
0,2713.csv,665.1759286449004,0.01,0.01,0.01,multiplicative,linear
1,2714.csv,572.0177404929692,0.01,0.01,0.01,multiplicative,linear
2,2715.csv,454.9708987083721,0.01,0.01,0.01,multiplicative,linear
3,2716.csv,447.9857377336188,0.01,0.01,0.01,multiplicative,linear
4,2717.csv,447.10355230959584,0.01,0.01,0.01,multiplicative,linear
5,2718.csv,403.76280304656655,0.01,0.01,0.01,multiplicative,linear
6,2719.csv,424.1081954819018,0.01,0.01,0.01,multiplicative,linear
7,2720.csv,455.3056341394031,0.01,0.01,0.01,multiplicative,linear
8,2721.csv,291.49400144225393,0.01,0.01,0.01,multiplicative,linear
9,2722.csv,293.2243260896304,0.01,0.01,0.01,multiplicative,linear
10,2723.csv,316.0146192804016,0.01,0.01,0.01,multiplicative,linear
11,2724.csv,320.6531498444307,0.01,0.01,0.01,multiplicative,linear
12,2725.csv,296.2990469032689,0.01,0.01,0.01,multiplicative,linear
13,2726.csv,262.22334471032684,0.01,0.01,0.01,multiplicative,linear
14,2727.csv,205.72783336605463,0.01,0.01,0.01,multiplicative,linear
15,2728.csv,214.05791587147527,0.01,0.01,0.01,multiplicative,linear
16,2729.csv,274.38699109957906,0.01,0.01,0.01,multiplicative,linear
17,2730.csv,349.3582066009302,0.01,0.01,0.01,multiplicative,linear
18,2731.csv,539.0627579042147,0.01,0.01,0.01,multiplicative,linear
19,2732.csv,546.0261999960226,0.01,0.01,0.01,multiplicative,linear
20,2733.csv,738.7242934294808,0.01,0.01,0.01,multiplicative,linear
21,2734.csv,739.3598571997632,0.01,0.01,0.01,multiplicative,linear
22,2735.csv,707.2646225674038,0.01,0.01,0.01,multiplicative,linear
23,2736.csv,694.0824322892109,0.01,0.01,0.01,multiplicative,linear
24,2737.csv,565.3803075319586,0.01,0.01,0.01,multiplicative,linear
25,2738.csv,611.0629744856926,0.01,0.01,0.01,multiplicative,linear
